"","HUM","TEM","NOX","CO","UV","label"
"1",57,20,4,40,223,"1"
"6",57,20,3,27,223,"1"
"9",57,20,3,8,223,"1"
"30",64,18,3,8,222,"1"
"33",64,17,3,31,222,"1"
"37",64,17,7,23,222,"1"
"40",64,17,4,22,222,"1"
"61",66,17,3,22,222,"1"
"70",65,18,3,22,222,"1"
"80",62,20,3,10,227,"1"
"81",59,21,3,73,223,"1"
"127",69,16,4,24,226,"1"
"136",71,15,2,23,226,"1"
"162",67,18,2,28,230,"1"
"167",64,19,2,276,229,"1"
"169",64,19,2,230,229,"1"
"170",64,19,2,198,229,"1"
"177",66,17,3,121,225,"1"
"182",66,17,3,52,227,"1"
"188",68,17,3,38,225,"1"
"191",51,24,3,34,296,"1"
"200",33,27,3,24,301,"1"
"225",37,30,2,24,394,"1"
"229",14,32,2,23,338,"1"
"253",65,17,2,11,218,"1"
"256",69,16,2,18,217,"1"
"263",76,15,2,18,217,"1"
"265",78,15,2,18,217,"1"
"267",81,15,2,18,217,"1"
"298",74,16,5,19,224,"1"
"304",76,14,6,18,225,"1"
"310",78,14,3,19,225,"1"
"311",78,14,2,19,225,"1"
"328",79,14,33,18,225,"1"
"361",79,14,2,19,225,"1"
"366",78,14,3,19,283,"1"
"367",79,14,3,19,247,"1"
"369",79,14,3,19,235,"1"
"372",79,14,3,19,328,"1"
"374",79,14,3,19,382,"1"
"375",79,14,5,19,389,"1"
"377",78,14,4,19,363,"1"
"382",77,14,4,18,387,"1"
"394",78,14,3,18,373,"1"
"395",78,14,3,20,392,"1"
"397",79,14,3,24,375,"1"
"404",66,19,3,42,223,"1"
"408",72,16,3,40,223,"1"
"426",79,15,2,20,217,"1"
"427",83,14,2,23,236,"1"
"428",84,14,2,23,237,"1"
"432",83,14,2,23,237,"2"
"433",84,14,2,23,237,"2"
"435",84,14,3,23,237,"2"
"438",80,15,3,17,217,"2"
"439",83,14,3,20,227,"2"
"447",77,15,3,17,217,"2"
"451",78,15,2,20,217,"2"
"462",69,15,4,27,271,"2"
"463",69,15,4,27,237,"2"
"469",74,14,4,24,238,"2"
"471",75,14,7,24,238,"2"
"477",79,14,6,19,383,"2"
"478",79,14,4,19,383,"2"
"479",79,14,5,19,385,"2"
"480",79,14,3,19,386,"2"
"481",80,14,2,19,398,"2"
"487",80,14,2,19,367,"2"
"493",79,14,2,19,378,"2"
"495",80,14,3,19,393,"2"
"497",80,14,3,18,375,"2"
"498",65,19,3,5,224,"2"
"499",65,19,3,21,225,"2"
"501",65,17,3,18,225,"2"
"503",68,16,3,18,239,"2"
"505",72,15,3,18,236,"2"
"506",73,15,2,18,226,"2"
"507",75,14,2,18,226,"2"
"510",79,14,2,18,226,"2"
"511",80,14,2,17,247,"2"
"512",82,14,2,18,232,"2"
"516",84,14,2,18,245,"2"
"518",84,14,2,18,312,"2"
"522",84,14,2,17,288,"2"
"533",83,14,3,18,408,"2"
"536",83,14,3,18,378,"2"
"553",77,14,2,24,238,"2"
"559",80,14,2,23,237,"2"
"566",83,14,2,23,236,"2"
"567",83,14,2,23,236,"2"
"569",84,14,2,23,237,"2"
"576",84,14,2,23,237,"2"
"577",84,14,2,23,237,"2"
"578",84,14,2,22,240,"2"
"579",49,22,2,48,250,"2"
"584",56,21,2,64,224,"2"
"587",62,19,2,53,224,"2"
"590",66,17,2,51,224,"2"
"594",69,17,2,49,224,"2"
"597",72,16,2,49,223,"2"
"607",74,16,3,48,223,"2"
"615",75,16,6,48,224,"2"
"625",75,16,7,48,224,"2"
"636",77,16,9,48,225,"2"
"638",77,15,8,48,225,"2"
"640",78,16,7,47,225,"2"
"641",78,16,2,47,225,"2"
"642",78,15,5,48,225,"2"
"645",77,17,3,47,282,"2"
"646",78,16,2,48,240,"2"
"647",78,16,2,48,270,"2"
"649",78,15,2,49,257,"2"
"650",78,16,2,48,309,"2"
"653",78,16,8,48,263,"2"
"655",77,16,2,48,256,"2"
"658",77,16,4,48,234,"2"
"659",78,16,3,48,235,"2"
"660",78,16,3,48,248,"2"
"664",78,15,3,48,227,"2"
"665",78,15,3,48,227,"2"
"666",78,15,3,48,227,"2"
"668",79,15,3,48,281,"2"
"669",79,15,3,48,315,"2"
"670",79,15,3,48,304,"2"
"671",79,15,3,48,228,"2"
"672",79,15,3,48,227,"2"
"673",79,15,3,48,279,"2"
"674",79,15,3,48,256,"2"
"675",79,15,3,48,261,"2"
"676",79,15,3,48,227,"2"
"679",79,15,3,48,235,"2"
"680",79,15,3,48,226,"2"
"681",80,15,3,48,225,"2"
"682",81,15,3,48,226,"2"
"691",81,15,3,48,377,"2"
"693",81,15,3,48,343,"2"
"703",49,25,7,59,270,"2"
"708",45,25,7,51,264,"2"
"712",44,25,7,47,267,"2"
"718",42,25,7,46,274,"2"
"720",42,25,7,46,262,"2"
"722",42,34,7,48,261,"2"
"723",38,26,7,48,259,"2"
"729",43,25,7,47,273,"2"
"731",42,26,7,47,270,"2"
"735",42,25,7,46,270,"2"
"736",41,24,7,46,264,"2"
"740",43,25,7,46,270,"2"
"745",40,25,7,45,293,"2"
"746",40,25,7,45,386,"2"
"748",40,25,7,49,280,"2"
"749",38,26,7,46,277,"2"
"763",33,27,7,45,284,"2"
"769",21,29,7,47,288,"2"
"783",44,23,7,61,228,"2"
"786",48,22,7,49,227,"2"
"799",51,21,7,49,231,"2"
"820",52,21,7,51,314,"2"
"874",56,21,2,47,227,"2"
"876",56,21,5,60,225,"2"
"878",75,16,3,48,286,"2"
"880",77,16,2,48,225,"3"
"881",77,15,2,47,225,"3"
"884",78,16,2,47,225,"3"
"885",78,16,2,47,225,"3"
"887",78,16,7,48,225,"3"
"888",77,17,2,47,282,"3"
"889",78,16,2,48,240,"3"
"890",78,16,4,48,270,"3"
"891",78,16,4,48,231,"3"
"892",78,16,4,48,286,"3"
"893",78,16,3,48,273,"3"
"897",77,16,3,48,235,"3"
"898",78,16,3,48,235,"3"
"899",78,16,3,48,248,"3"
"902",78,15,3,48,227,"3"
"904",78,15,3,48,227,"3"
"905",78,15,3,48,283,"3"
"906",79,15,3,48,281,"3"
"907",79,15,3,48,315,"3"
"910",79,15,3,48,227,"3"
"911",79,15,3,48,279,"3"
"912",79,15,3,48,256,"3"
"917",79,15,3,48,235,"3"
"919",80,15,3,48,225,"3"
"920",81,15,3,48,227,"3"
"925",71,17,3,45,223,"3"
"927",71,17,3,45,286,"3"
"928",73,16,3,45,286,"3"
"929",45,25,3,49,275,"3"
"940",43,25,8,48,274,"3"
"942",38,27,8,48,259,"3"
"944",41,25,8,47,270,"3"
"946",43,25,7,47,274,"3"
"947",43,25,7,47,273,"3"
"949",42,27,7,47,270,"3"
"955",39,25,7,46,274,"3"
"957",41,24,7,46,274,"3"
"960",43,25,7,46,270,"3"
"961",54,21,7,52,225,"3"
"967",57,22,7,89,216,"3"
"969",57,22,7,61,216,"3"
"982",63,19,7,210,233,"3"
"984",63,19,7,143,228,"3"
"991",64,19,7,47,223,"3"
"1020",68,17,7,45,226,"3"
"1107",72,16,7,40,223,"3"
"1110",74,16,7,46,223,"3"
"1113",75,16,7,52,223,"3"
"1115",75,16,7,48,223,"3"
"1172",72,17,13,50,225,"3"
"1175",73,16,10,48,223,"3"
"1177",74,16,99,46,224,"3"
"1181",75,15,9,44,222,"3"
"1182",75,16,9,43,222,"3"
